"MostUsed" "SentCount" "SentLen" "WordCount" "WordLen" "," "." ":" "CC" "CD" "DT" "EX" "IN" "JJ" "JJS" "MD" "NN" "NNP" "NNS" "POS" "PRP" "PRP$" "RB" "RP" "TO" "UH" "VB" "VBD" "VBG" "VBN" "VBP" "VBZ" "WDT" "WP" "WRB" "Adjectives" "''" "JJR" "PDT" "RBR" "RBS" "-LRB-" "-RRB-" "``" "FW" "NNPS" "WP$" "#"
"29" "laugh" 17 71.2352941176471 270 3.77407407407407 20 17 0 9 1 23 0 21 9 3 7 35 2 4 0 26 4 16 1 3 0 12 10 8 5 9 5 0 1 3 17 3 5 0 7 0 0 0 1 0 0 0 0
"30" "life" 18 204.611111111111 803 3.71232876712329 37 19 0 46 2 67 4 74 47 3 19 98 0 26 0 70 29 56 5 28 0 53 22 14 13 35 10 1 7 4 54 0 4 4 0 1 1 1 0 3 0 0 0
"31" "friend" 27 141.333333333333 771 4.07652399481193 5 28 1 33 5 77 0 99 38 1 14 65 19 33 0 76 13 47 6 22 0 41 74 20 15 7 6 2 3 14 43 2 4 0 0 0 0 0 1 0 0 0 0
"32" "laugh" 60 71.4166666666667 965 3.68497409326425 20 62 0 28 5 57 0 99 36 1 14 69 13 19 3 162 22 73 3 30 0 49 97 31 10 31 9 3 0 8 38 5 1 0 0 0 0 0 5 0 0 0 0
"33" "love" 59 63.4067796610169 875 3.57142857142857 50 64 1 32 5 55 0 78 41 3 6 97 7 18 1 113 36 70 5 14 1 17 97 16 9 10 2 4 1 3 45 12 1 0 3 1 0 0 2 0 0 0 0
"34" "class" 52 85.2115384615385 955 3.87434554973822 61 54 0 12 15 61 3 120 42 1 8 115 11 40 0 111 26 51 8 27 4 38 89 29 5 8 2 2 3 1 46 2 3 0 0 2 0 0 1 0 0 0 0
"35" "laugh" 60 72.0666666666667 955 3.76544502617801 25 61 0 36 10 82 1 87 52 3 13 115 3 30 1 107 18 56 6 34 0 43 59 28 17 24 16 1 5 11 57 5 2 0 1 0 0 0 3 0 0 0 0
"36" "laugh" 22 104.636363636364 514 3.67898832684825 28 22 1 15 3 39 1 44 30 0 6 64 5 15 0 50 13 46 4 14 0 18 32 13 5 15 14 2 3 6 31 0 1 1 0 0 0 0 2 2 0 0 0
"37" "hous" 53 79.3584905660377 913 3.79627601314348 5 55 0 38 7 73 2 117 47 0 10 123 8 26 1 112 18 60 6 0 0 32 99 20 10 16 5 4 2 6 50 1 3 1 2 0 2 2 0 0 0 0 0
"38" "trampolin" 7 207.714285714286 322 3.6055900621118 8 7 0 23 2 31 0 28 15 0 2 44 1 4 0 39 6 25 5 6 0 10 33 7 4 4 4 2 1 4 18 0 3 0 1 0 0 0 1 2 0 0 0
"39" "start" 47 98.8723404255319 963 4.04361370716511 54 48 1 35 16 94 1 87 44 1 9 108 19 46 0 74 25 49 12 33 0 44 81 22 14 9 16 6 1 4 47 4 2 1 0 1 0 1 1 0 0 0 0
"40" "sit" 54 85.1111111111111 961 4.02913631633715 48 57 2 44 11 75 1 98 61 1 6 95 22 42 2 84 18 76 7 22 2 34 86 22 9 8 6 1 2 2 65 7 3 0 3 0 0 0 4 0 0 0 0
"41" "mother" 58 58.8103448275862 760 3.78289473684211 25 60 0 22 7 48 2 81 29 2 5 84 6 16 2 87 8 56 6 22 1 36 77 15 14 15 9 1 2 8 32 8 1 0 0 0 0 0 5 0 0 0 0
"42" "cri" 50 90.12 964 3.90248962655602 47 54 0 6 12 67 3 138 31 1 18 109 13 29 1 80 37 80 2 30 0 49 73 21 25 10 5 3 0 2 34 5 2 4 2 0 0 0 4 0 1 0 0
"43" "laugh" 69 66.5652173913043 999 3.9029029029029 40 87 3 13 17 72 0 91 54 3 7 111 13 43 2 95 13 76 4 25 5 36 59 27 12 30 13 5 5 11 58 16 1 0 4 2 0 0 4 0 0 0 0
"44" "laugh" 24 95.25 504 3.75396825396825 29 23 6 14 11 36 1 58 31 0 5 52 1 15 2 44 6 46 1 19 2 29 32 8 2 13 8 2 2 4 31 0 0 0 2 0 0 0 0 0 0 0 0
"45" "laugh" 27 69.8888888888889 407 3.88452088452088 12 27 1 8 5 27 1 35 15 2 4 39 6 8 0 56 9 33 6 6 2 11 55 11 5 5 6 1 1 5 17 3 0 0 1 1 0 0 0 0 0 0 0
"46" "back" 25 115.6 607 3.94398682042834 12 37 0 18 6 43 0 90 15 0 2 71 20 10 1 85 19 26 6 0 2 18 61 16 6 9 8 1 3 8 17 8 2 0 0 0 0 0 2 1 1 0 0
"47" "school" 43 53.953488372093 533 3.61913696060038 6 43 1 18 4 36 1 63 15 1 10 64 11 12 0 71 9 41 2 11 2 28 45 10 3 6 7 1 2 2 17 2 1 2 2 0 0 0 1 0 0 0 0
"48" "fish" 28 91.0357142857143 583 3.52487135506003 3 29 0 27 6 58 0 67 17 2 4 70 6 5 0 73 5 44 2 27 0 32 68 20 5 3 2 0 0 6 20 0 1 0 1 0 0 0 0 0 0 0 0
"49" "phone" 13 126.538461538462 349 3.87392550143266 10 14 0 15 6 26 0 47 6 3 3 41 4 5 1 36 14 26 6 5 0 9 42 13 3 4 0 0 0 2 11 2 2 0 2 1 0 0 0 1 0 0 0
"50" "laugh" 30 110.5 732 3.71584699453552 23 30 4 24 6 50 0 74 38 2 8 70 11 15 2 91 18 49 5 28 0 46 52 18 4 19 24 2 5 7 44 2 4 0 0 1 0 0 0 0 0 0 0
"51" "laugh" 39 66.4871794871795 572 3.81818181818182 30 42 0 4 9 41 0 55 34 3 9 68 8 11 0 58 22 30 1 9 2 23 38 20 4 12 17 0 0 5 39 7 2 0 0 0 0 0 8 0 0 0 0
"52" "day" 30 102.933333333333 656 3.87957317073171 18 31 0 26 8 68 2 61 28 3 10 89 10 31 2 49 17 45 2 13 0 26 47 22 6 14 8 0 7 5 32 2 1 0 1 0 1 1 0 2 0 0 0
"53" "laugh" 32 100.125 719 3.64116828929068 19 32 0 28 6 55 0 74 44 3 10 84 6 29 0 82 23 48 2 20 0 39 36 10 13 24 17 1 5 5 47 0 0 3 0 1 0 0 0 0 0 0 0
"54" "fun" 39 97.5641025641026 845 3.70650887573965 25 43 0 30 8 64 0 97 44 4 8 111 5 22 0 99 31 38 4 24 1 39 20 17 6 45 32 1 2 15 50 3 2 0 1 0 1 1 2 0 0 0 0
"55" "light" 43 69.9069767441861 659 3.81183611532625 36 43 0 18 11 67 4 74 36 3 4 89 11 25 0 56 10 29 5 17 1 14 67 22 8 1 2 0 2 2 39 0 0 0 2 0 0 0 0 0 0 0 0
"56" "laugh" 39 77.5897435897436 674 3.68249258160237 8 39 0 24 4 59 1 72 42 3 9 76 6 25 1 69 20 44 3 13 0 42 11 16 10 39 17 2 2 10 51 0 6 0 1 0 0 0 0 0 0 0 0
"57" "school" 31 81.4838709677419 559 3.75134168157424 28 31 0 21 6 44 0 49 33 1 6 84 6 21 0 57 17 37 1 11 0 20 38 7 9 7 11 2 1 2 37 2 3 0 2 0 0 0 2 0 0 0 0
"58" "laugh" 29 65.551724137931 417 3.81774580335731 9 29 0 10 1 22 0 42 34 1 4 45 9 19 2 48 15 27 2 12 0 13 3 10 4 20 26 0 2 6 36 0 1 1 0 0 0 0 0 0 0 0 0
"59" "laughter" 32 92.5 638 3.84952978056426 25 34 0 30 5 38 2 52 46 3 6 72 7 24 1 56 15 43 4 25 0 34 50 14 7 11 13 4 5 4 49 0 0 0 1 1 2 3 0 1 0 0 0
"60" "laughter" 22 78.3636363636364 361 3.99722991689751 13 23 0 11 2 36 1 42 19 5 4 55 6 9 1 30 8 15 2 6 0 10 17 13 3 12 10 2 0 3 24 0 0 0 2 1 0 0 0 0 0 0 0
"61" "laugh" 29 49.2068965517241 334 3.59281437125748 14 29 0 12 1 19 0 29 11 1 10 55 3 7 1 39 17 13 1 5 0 17 20 4 2 5 10 2 3 2 12 1 0 0 0 0 0 0 1 0 0 0 0
"62" "day" 56 72.375 869 3.88147295742232 19 55 1 41 3 52 2 79 35 3 8 111 6 28 1 88 47 60 6 21 0 36 96 18 19 9 4 4 2 4 44 1 6 1 1 1 0 0 0 1 0 0 0
"63" "laugh" 36 89.7777777777778 698 3.82091690544413 6 36 6 20 2 48 5 76 44 2 15 72 2 25 0 81 24 58 1 13 0 36 24 21 9 28 20 4 1 10 50 0 4 2 1 2 0 0 0 0 0 0 0
"64" "laugh" 36 85.0555555555556 671 3.76602086438152 17 37 0 21 3 32 1 58 32 2 9 68 4 13 0 95 20 54 1 30 0 52 65 24 5 8 2 1 9 5 36 0 2 0 1 0 0 0 0 0 0 0 0
"65" "mom" 68 66.8088235294118 959 3.99582898852972 28 71 0 37 16 92 1 89 47 1 6 129 12 33 1 85 10 52 7 24 0 33 88 26 15 15 10 1 2 5 56 9 8 0 1 1 0 0 4 0 0 0 0
"66" "laughter" 12 103.916666666667 270 3.84074074074074 11 13 3 14 9 23 1 32 6 2 1 34 4 10 0 18 5 25 0 5 0 7 13 4 1 5 11 0 1 2 12 2 4 0 1 2 0 0 1 0 0 0 0
"67" "laugh" 43 75.3953488372093 643 4.29860031104199 11 49 3 20 6 46 0 77 28 0 15 76 21 13 4 60 11 22 1 22 0 36 51 16 9 8 11 2 3 6 32 6 4 1 0 0 0 0 4 0 1 0 0
"68" "time" 30 135.766666666667 899 3.67296996662959 1 32 0 40 3 51 1 106 29 3 19 89 2 15 0 132 24 88 7 28 0 53 48 17 7 32 36 1 8 15 33 4 1 5 0 0 0 0 2 0 0 0 0
"69" "laugh" 20 102.6 444 3.7972972972973 13 22 0 12 0 28 1 45 36 0 9 43 8 20 1 47 10 27 0 8 0 35 15 17 6 12 11 4 1 6 37 1 1 2 0 0 0 0 3 0 0 0 0
"70" "boyfriend" 21 100.571428571429 465 3.72043010752688 8 21 0 15 0 25 0 50 19 2 4 65 4 8 0 52 31 28 5 13 0 18 45 21 5 9 4 3 1 6 21 2 0 0 1 0 0 0 0 0 0 0 0
"71" "thing" 43 100.883720930233 940 3.80851063829787 27 44 0 51 2 67 0 78 61 3 7 74 8 35 1 119 16 105 6 20 1 35 63 20 19 40 16 3 6 10 65 1 1 1 0 0 0 0 0 0 0 0 0
"72" "laugh" 34 88.1764705882353 645 3.85581395348837 21 36 0 31 5 44 2 61 41 1 4 79 6 26 0 67 21 41 2 10 2 16 63 20 4 15 7 5 3 1 42 3 0 0 1 0 0 0 7 0 0 0 0
"73" "home" 32 74.53125 523 3.79158699808795 21 31 0 16 4 40 2 58 14 0 5 65 26 5 0 61 3 28 3 25 0 31 52 11 5 4 4 0 0 7 14 1 0 0 0 0 0 0 1 0 0 0 0
"74" "laugh" 43 68.4186046511628 687 3.55167394468705 42 48 0 38 9 41 1 55 20 1 5 77 6 19 0 85 13 64 3 9 0 32 39 17 4 25 12 3 3 11 22 1 1 1 0 1 0 0 0 1 0 0 0
"75" "laugh" 56 73.5178571428571 931 3.64339419978518 21 54 1 15 9 62 1 102 43 3 8 133 11 22 4 95 25 72 9 29 0 49 54 29 11 20 26 5 1 6 49 2 3 1 2 0 0 0 3 0 0 0 0
"76" "didnt" 69 63.7971014492754 993 3.71601208459214 53 69 1 24 15 75 0 102 40 6 10 85 14 28 1 114 20 79 10 34 0 46 93 22 11 9 3 3 4 4 48 8 2 1 3 1 0 0 3 0 0 0 0
"77" "peopl" 23 103.913043478261 506 3.90513833992095 16 25 0 19 4 31 0 62 28 1 15 52 3 26 0 53 6 32 1 11 0 29 4 17 12 24 20 3 4 4 29 2 0 1 1 0 0 0 0 0 0 0 0
"78" "nacho" 76 57.5789473684211 953 3.87513116474292 29 79 0 32 8 63 2 98 41 2 12 125 18 45 0 97 30 66 7 15 2 33 83 30 6 7 10 0 3 4 45 2 2 1 1 0 0 0 0 0 0 0 0
"79" "peopl" 31 129.967741935484 828 3.99396135265701 14 36 0 43 2 61 0 88 46 2 27 89 6 53 0 79 7 55 0 24 2 66 3 9 1 47 28 3 6 19 50 0 2 0 2 0 4 4 0 0 0 0 0
"80" "time" 18 68.5 294 3.43537414965986 6 19 0 11 2 21 3 28 8 0 2 25 2 9 1 41 5 18 3 10 0 12 23 13 2 10 6 1 0 7 9 3 1 0 0 1 0 0 1 0 0 0 0
"81" "laugh" 19 229.473684210526 899 3.94660734149054 21 21 0 39 11 100 0 102 43 3 19 143 12 21 7 73 21 41 7 19 0 37 43 27 21 22 18 5 6 12 46 0 0 1 1 0 1 2 0 0 0 0 0
"82" "laugh" 17 93 358 3.58100558659218 5 17 0 18 0 18 1 26 20 0 6 42 1 18 0 46 11 15 0 11 0 27 7 11 4 27 9 1 1 11 21 0 1 3 1 0 0 0 0 0 0 0 0
"83" "class" 62 74.9354838709677 949 4.14857744994731 34 66 0 23 7 87 0 104 68 2 4 134 18 42 2 76 23 42 3 28 1 27 83 21 20 8 2 2 3 1 70 11 0 1 0 2 0 0 4 0 0 0 0
"84" "laugh" 47 81.4893617021277 860 3.7 35 47 0 35 8 53 2 77 43 1 21 78 8 37 0 89 30 76 6 23 0 50 26 22 14 31 22 3 2 12 49 1 5 0 2 0 0 0 1 0 0 0 0
"85" "laughter" 40 108.625 900 4.05888888888889 50 43 5 37 6 73 1 82 58 0 4 121 14 29 2 68 31 56 5 19 1 22 76 34 15 7 8 2 5 8 58 11 0 1 0 0 0 0 6 0 0 0 0
"86" "laughter" 47 66.531914893617 621 4.31239935587762 17 48 1 13 7 46 5 53 40 3 12 79 17 43 6 33 11 35 2 20 0 36 4 16 5 15 37 1 1 8 45 1 2 0 1 1 0 0 2 0 0 0 0
"87" "relationship" 31 80 555 3.65585585585586 8 31 0 22 5 37 1 62 34 1 21 60 5 8 2 74 11 46 3 18 0 32 6 6 6 23 17 2 6 6 35 0 0 1 1 0 0 0 0 0 0 0 0
"88" "felt" 83 42.3614457831325 800 3.78 49 85 2 25 4 55 0 74 34 2 4 89 25 28 3 82 18 52 3 8 1 17 80 19 12 5 7 0 2 8 36 1 0 2 0 0 0 0 0 4 0 0 0
"89" "friend" 48 65.4166666666667 711 3.69760900140647 34 56 0 3 9 52 2 75 31 4 7 90 9 11 0 76 20 44 3 13 2 31 72 19 10 6 6 0 1 8 38 6 3 0 1 1 2 2 2 0 0 0 0
"90" "parti" 12 98.4166666666667 276 3.46014492753623 13 12 0 14 2 20 1 32 10 1 1 43 3 9 0 28 13 10 2 5 1 4 37 5 5 2 0 0 2 0 11 0 0 0 0 0 0 0 0 1 0 0 0
"91" "peopl" 48 69.4791666666667 683 4.16983894582723 42 49 4 23 12 62 0 57 56 0 3 77 8 34 1 64 7 45 4 14 0 18 60 15 9 3 2 0 1 6 57 4 1 0 1 0 0 0 1 0 0 0 0
"92" "laughter" 35 87.3428571428571 672 3.73065476190476 9 35 0 35 5 48 0 75 23 4 18 77 12 23 1 80 17 54 3 18 0 35 45 12 7 18 3 1 4 10 27 0 0 0 0 0 0 0 0 0 0 0 0
"93" "goali" 9 155.111111111111 305 3.66885245901639 0 9 0 13 3 17 0 46 13 0 2 35 1 3 0 47 10 22 1 6 0 6 47 11 1 1 1 1 0 9 13 0 0 0 0 0 0 0 0 0 0 0 0
"94" "laughter" 45 86.8666666666667 875 3.68 29 46 4 40 8 48 1 84 44 3 7 108 16 23 1 89 36 46 6 19 2 27 53 23 12 33 33 6 1 23 47 2 0 0 0 0 0 0 2 0 0 0 0
"95" "laugh" 53 62.4905660377358 764 3.6348167539267 37 58 0 26 6 63 1 57 24 4 13 75 8 16 1 96 18 58 8 24 1 38 62 31 8 11 6 0 0 5 28 7 0 0 0 0 0 0 2 0 0 0 0
"96" "laugh" 36 90.8055555555556 714 3.78571428571429 31 36 0 44 4 65 5 85 30 3 6 86 9 28 0 62 9 57 8 19 0 27 47 11 12 9 15 2 0 3 34 0 1 0 0 0 0 0 0 0 0 0 0
"97" "laughter" 30 93 579 4.0259067357513 19 32 1 32 5 45 1 65 39 3 4 60 8 15 4 61 12 43 5 0 1 18 42 7 14 15 16 0 3 8 42 0 0 0 0 1 0 0 0 0 0 0 0
"98" "day" 19 71.3684210526316 311 3.58199356913183 10 19 0 5 10 21 1 24 9 2 8 49 1 9 0 35 14 19 2 4 0 17 20 6 5 7 2 1 1 7 11 0 0 0 1 0 0 0 0 1 1 0 0
"99" "back" 2 390.5 176 3.46590909090909 0 1 0 13 4 18 0 20 2 0 2 29 0 2 0 19 4 17 0 5 0 6 27 3 2 0 0 0 1 0 2 0 0 0 1 0 0 0 0 0 0 0 0
"100" "laughter" 22 73.5909090909091 343 3.92419825072886 1 23 0 15 4 30 1 41 12 0 9 45 6 10 0 30 7 25 5 9 0 16 18 8 5 5 10 1 1 3 13 1 1 0 0 0 0 0 1 0 0 0 0
"101" "laughter" 38 84.7894736842105 725 3.64137931034483 23 38 0 30 10 62 2 84 31 2 11 90 6 18 1 71 19 58 3 22 0 30 38 12 8 25 12 5 3 7 33 1 0 1 0 0 0 0 1 1 0 0 0
"102" "smile" 43 105.372093023256 1000 3.767 69 44 1 43 3 72 0 97 55 0 20 110 12 30 1 95 31 64 7 24 4 40 90 19 19 14 5 2 4 4 56 11 1 1 3 0 0 0 5 0 0 0 0
"103" "love" 52 85.9230769230769 965 3.87979274611399 40 57 0 41 12 63 2 77 43 1 32 82 19 39 2 98 11 82 6 22 1 73 41 22 4 23 25 8 9 11 45 4 1 3 4 3 0 0 1 2 1 0 0
"104" "make" 36 79.4444444444444 625 3.7968 15 37 0 30 6 31 1 49 46 6 9 63 2 23 0 75 10 45 7 25 0 38 35 21 5 18 12 0 3 5 55 3 3 1 0 0 0 0 1 0 0 0 0
"105" "log" 35 77.1142857142857 615 3.62764227642276 34 35 0 27 1 50 0 58 35 0 6 64 2 23 1 51 25 42 5 22 0 26 64 16 21 1 1 0 1 1 36 0 1 1 0 1 0 0 0 0 0 0 0
"106" "laugh" 47 90.1702127659574 963 3.61889927310488 59 48 1 39 4 64 4 82 39 4 5 116 8 19 1 111 25 69 9 31 1 44 77 32 8 22 6 1 4 10 51 1 8 2 9 0 0 0 0 0 0 0 0
"107" "laugh" 31 137.967741935484 925 3.77405405405405 32 32 0 46 11 66 2 100 69 5 15 84 6 23 0 106 20 69 10 25 0 54 27 28 4 34 26 3 4 11 75 3 1 0 0 3 1 1 4 0 0 0 0
"108" "laughter" 14 86.5 266 3.7593984962406 7 15 0 7 2 28 0 27 15 3 12 44 0 7 0 20 6 8 1 4 0 21 4 4 1 7 10 0 1 3 20 4 2 0 0 0 0 0 3 0 0 0 0
"109" "walk" 29 79.3793103448276 499 3.82565130260521 13 30 0 11 4 45 0 66 27 1 5 40 16 12 1 59 11 39 3 10 0 14 38 20 6 14 2 0 1 7 30 2 2 0 0 0 0 0 0 0 0 0 0
"110" "friend" 36 77.25 590 3.94406779661017 23 36 1 28 6 49 1 55 41 1 7 70 5 25 0 50 18 32 2 13 0 22 37 18 7 12 15 0 3 5 43 2 1 1 3 0 0 0 1 0 0 0 0
"111" "eat" 18 143 570 3.66315789473684 9 26 1 24 5 50 0 56 28 0 1 58 6 21 0 71 11 34 9 16 2 28 49 18 7 18 9 0 1 4 30 2 2 2 0 0 0 0 2 0 0 0 0
"112" "laughter" 25 83.8 436 4.04816513761468 27 26 0 12 9 39 0 40 28 1 5 51 15 22 0 39 7 18 1 15 1 18 26 5 9 4 7 2 2 5 29 0 0 1 0 1 0 0 0 0 0 0 0
"113" "door" 37 83.7567567567568 672 3.85565476190476 24 47 0 19 12 62 0 65 30 2 7 93 12 11 0 66 11 34 6 19 1 38 51 15 3 17 3 0 3 0 32 11 0 0 0 0 0 0 10 0 0 0 0
"114" "game" 56 74.4464285714286 957 3.58829676071055 39 55 0 33 12 63 2 81 25 3 12 97 6 25 0 129 33 77 7 27 0 34 118 33 11 6 6 3 0 12 29 1 1 2 1 1 1 1 0 0 0 0 0
"115" "laughter" 26 105.038461538462 541 4.21256931608133 9 26 0 17 4 50 0 59 35 1 7 61 2 25 0 56 14 36 1 12 0 20 36 17 12 14 9 0 2 11 37 0 1 0 4 0 0 0 0 0 0 0 0
"116" "laugh" 28 97.4285714285714 563 4.03374777975133 14 27 2 16 6 46 0 61 30 2 12 69 12 16 0 52 6 34 2 21 0 34 34 14 12 11 14 4 6 1 34 1 2 0 0 1 0 0 1 0 0 0 0
"117" "laugh" 59 69.0677966101695 872 3.94036697247706 37 63 7 19 4 85 0 107 40 0 5 98 11 31 3 77 7 58 6 22 0 25 86 33 14 5 8 1 2 5 44 2 4 2 2 1 0 0 2 0 0 0 0
"118" "laugh" 33 80.3636363636364 581 3.79001721170396 22 32 0 26 6 36 2 50 27 4 12 59 19 22 0 74 5 36 1 15 2 30 29 10 4 24 11 2 3 7 31 3 0 3 0 1 0 0 2 2 0 0 0
"119" "start" 53 74.7924528301887 898 3.61024498886414 5 54 0 38 1 64 1 97 27 0 13 114 4 23 0 113 21 73 10 34 0 44 108 27 11 5 0 2 3 5 27 0 0 0 1 0 0 0 0 0 0 0 0
